ID,LON,LAT
tsk_0,511.82162470025673,950.4636963259353
tsk_1,144.15961271963374,948.6494471372439
tsk_2,311.83145201048546,423.32644897257563
tsk_3,827.7025938204417,409.1991363691613
tsk_4,549.5936876730595,27.559113243068367
tsk_5,753.5131086748066,538.1433132192782
tsk_6,329.73171649909216,788.4287034284043
tsk_7,303.19482929164496,453.4978894806515
tsk_8,134.04169724716473,403.11298644712923
tsk_9,203.45524067614963,262.3133404418495
tsk_10,750.3646726300526,280.4087579860399
tsk_11,485.1909744316351,980.7371998012386
tsk_12,961.6571936637868,724.7899407735337
tsk_13,541.2268555474342,276.89120404537084
tsk_14,160.65200877512686,969.9254132161326
tsk_15,516.0685855478787,115.86561247077032
tsk_16,623.4897555375004,776.6831143422979
tsk_17,613.0033010530404,917.2977047909027
tsk_18,39.59287666420286,528.5892632600217
tsk_19,459.33588288540375,62.3495791498756
tsk_20,641.328169139375,852.6328384806567
tsk_21,592.941018104284,260.0974477372232
tsk_22,839.8815210314087,509.4958815215094
tsk_23,510.888884466533,753.0302077021779
tsk_24,147.92203578495656,819.626719119277
tsk_25,683.2869060032572,787.096941554801
tsk_26,191.61625902013523,802.36416113453
tsk_27,191.32392605720028,81.55261736351271
tsk_28,855.2269742870702,861.2834961776684
tsk_29,876.5370964165805,471.9097193587902
tsk_30,274.04838861371826,7.091828603166261
tsk_31,645.7208955749478,719.909383508693
tsk_32,835.5692165002741,281.87782736454216
tsk_33,215.2181671629736,639.3313800665878
tsk_34,805.0548331450098,963.6708728449709
tsk_35,150.52483042117748,482.21238819933654
tsk_36,894.7158621961735,422.7169069454373
tsk_37,589.5020620840481,24.4906774933632
tsk_38,673.4598871529389,919.0886196338225
tsk_39,826.825329556721,885.5202667099468
tsk_40,660.3553805205233,245.55226724317757
tsk_41,768.5169988962543,211.67474260751052
tsk_42,831.2748346644612,62.717922570768245
tsk_43,825.4878133935558,164.5072664741013
tsk_44,375.14699649664186,316.7381665569643
tsk_45,691.3370352777413,178.57187817437193
tsk_46,396.25616221698647,5.8245951079809455
tsk_47,262.4947127501015,421.18881422895527
tsk_48,105.92123670732445,633.1599460365578
tsk_49,380.42426988653233,725.2939380762389
